  ,Model                  ,Accuracy           ,Precision          ,Recall             ,F1 Score
0 ,GaussianNB             ,0.8220858895705522 ,0.826530612244898  ,0.8709677419354839 ,0.8481675392670157
1 ,KNeighborsClassifier   ,0.950920245398773  ,0.9775280898876404 ,0.9354838709677419 ,0.9560439560439561
2 ,LogisticRegression     ,0.8957055214723927 ,0.8725490196078431 ,0.956989247311828  ,0.9128205128205128
3 ,RandomForestClassifier ,0.8957055214723927 ,0.8877551020408163 ,0.9354838709677419 ,0.9109947643979057
4 ,AdaBoostClassifier     ,0.9202453987730062 ,0.9347826086956522 ,0.9247311827956989 ,0.9297297297297298
5 ,SVC                    ,0.9447852760736196 ,0.92               ,0.989247311827957  ,0.9533678756476683
