,Model,Accuracy,Precision,Recall,F1 Score
0,GaussianNB,0.8282208588957055,0.8155339805825242,0.9032258064516129,0.8571428571428571
1,KNeighborsClassifier,0.9263803680981595,0.9354838709677419,0.9354838709677419,0.9354838709677419
2,LogisticRegression,0.8834355828220859,0.87,0.9354838709677419,0.9015544041450777
3,RandomForestClassifier,0.8404907975460123,0.8252427184466019,0.9139784946236559,0.8673469387755102
4,AdaBoostClassifier,0.8834355828220859,0.87,0.9354838709677419,0.9015544041450777
5,SVC,0.9325153374233128,0.9019607843137255,0.989247311827957,0.9435897435897436
